GEOID,NAME,Top 1_Country,Top 2_Country,Top 3_Country,Top 4_Country,Top 5_Country
"2502328285",Hanover,Vietnam,Canada,Albania,Greece,Italy
"2502338855",Marshfield,United Kingdom,Brazil,Italy,Other Northern Europe,China
"2502350145",Norwell,China,United Kingdom,Ireland,Sweden,Canada
"2502372985",Wareham,Brazil,Philippines,Poland,Korea,Canada
"2501724960",Framingham,Brazil,China,Ecuador,India,El Salvador
"2502174175",Wellesley,China,India,United Kingdom,Canada,Germany
"2502328495",Hanson,Brazil,India,Lebanon,Mexico,Cabo Verde
"2502375260",West Bridgewater,Brazil,Canada,Germany,Ireland,Lebanon
"2502379530",Whitman,Brazil,Ireland,Canada,India,Haiti
"2502556585",Revere,El Salvador,Colombia,Brazil,Guatemala,Morocco
"2502340850",Middleborough,Brazil,Haiti,United Kingdom,Germany,Korea
"2502357600",Rochester,Portugal,Russia,Brazil,Canada,Portugal – Azores
"2500916250",Danvers,Brazil,Mexico,Colombia,Iraq,China
"2500927900",Hamilton,Nigeria,China,United Kingdom,Brazil,Canada
"2500945175",Newbury,United Kingdom,Honduras,Egypt,Canada,Bulgaria
"2500932310",Ipswich,China,Jamaica,Mexico,United Kingdom,Canada
"2500941095",Middleton,Portugal,Brazil,Portugal – Azores,Italy,Dominican Republic
"2500945245",Newburyport,Italy,Brazil,Cuba,Germany,Canada
"2500958405",Rowley,Laos,Canada,United Kingdom,Brazil,China
"2502104930",Bellingham,Ecuador,Brazil,Georgia,Canada,Guatemala
"2502109175",Brookline,China,India,Israel,Korea,Japan
"2502111315",Canton,China,India,Philippines,Korea,Pakistan
"2502114640",Cohasset,Ireland,Canada,United Kingdom,Germany,China
"2502141515",Millis,Greece,United Kingdom,Jamaica,Egypt,Bulgaria
"2502141690",Milton,Haiti,China,Jamaica,Vietnam,Trinidad and Tobago
"2502144105",Needham,China,Russia,Korea,India,United Kingdom
"2502150250",Norwood,Brazil,India,El Salvador,Haiti,Philippines
"2502167945",Stoughton,Brazil,Haiti,Portugal,Cabo Verde,Vietnam
"2502172495",Walpole,Brazil,India,Lebanon,Ireland,Haiti
"2501731540",Hudson,Brazil,Portugal,India,Peru,Portugal – Azores
"2501737875",Malden,China,Brazil,Haiti,India,Vietnam
"2500938400",Marblehead,United Kingdom,Greece,Russia,China,Italy
"2500926150",Gloucester,Brazil,Portugal,Dominican Republic,Italy,United Kingdom
"2501737000",Lowell,Cambodia,Brazil,Kenya,Dominican Republic,India
"2500927620",Groveland,Portugal,United Kingdom,Italy,Nicaragua,India
"2500960015",Saugus,Brazil,El Salvador,Haiti,Guatemala,Italy
"2500970150",Topsfield,China,Nepal,Canada,United Kingdom,Japan
"2500977150",West Newbury,South Africa,Japan,Russia,Canada,Korea
"2500901465",Andover,China,India,Korea,Brazil,Canada
"2500907420",Boxford,Denmark,Canada,Australia,Romania,Portugal – Azores
"2500921850",Essex,Portugal – Azores,Portugal,Italy,El Salvador,United Kingdom
"2500934550",Lawrence,Dominican Republic,Guatemala,El Salvador,Ecuador,Vietnam
"2500937490",Lynn,Dominican Republic,Guatemala,El Salvador,Haiti,Brazil
"2500937560",Lynnfield,China,Brazil,India,Canada,Colombia
"2500937995",Manchester-by-the-Sea,Canada,Poland,Ireland,Italy,Turkey
"2500940710",Methuen Town,Dominican Republic,Haiti,Lebanon,India,Guatemala
"2500943580",Nahant,Canada,Portugal,Brazil,United Kingdom,China
"2500959105",Salem,Dominican Republic,Brazil,Philippines,Cameroon,El Salvador
"2501705070",Belmont,China,India,Korea,Japan,Albania
"2501711000",Cambridge,China,India,Korea,Ethiopia,Haiti
"2501713135",Chelmsford,India,China,Brazil,Vietnam,Jamaica
"2501721990",Everett,Brazil,El Salvador,Haiti,Vietnam,Honduras
"2501730700",Holliston,India,Brazil,Israel,China,Moldova
"2501743895",Natick,India,China,Brazil,Iran,Israel
"2501748955",North Reading,India,China,Brazil,United Kingdom,Philippines
"2501752805",Pepperell,Korea,India,Cambodia,Canada,Haiti
"2501768260",Sudbury,China,India,Ukraine,Russia,Canada
"2501769415",Tewksbury,Portugal,India,Peru,Brazil,El Salvador
"2501771025",Tyngsborough,India,Brazil,Vietnam,Canada,United Kingdom
"2501773440",Watertown Town,India,Brazil,China,Italy,Armenia
"2501773790",Wayland,China,India,Brazil,United Kingdom,Mexico
"2501780230",Wilmington,India,China,Portugal,Canada,Brazil
"2501761380",Sherborn,United Kingdom,India,China,Brazil,Netherlands
"2501761590",Shirley,Bulgaria,Colombia,India,Korea,Haiti
"2502309000",Brockton,Cabo Verde,Haiti,Brazil,Ecuador,Jamaica
"2502311665",Carver,Germany,Costa Rica,Brazil,Thailand,Mexico
"2502330210",Hingham,China,Ireland,Canada,United Kingdom,India
